"cluster","annotation","confidence","annotation_note","top_markers"
"0","NK-like cytotoxic lymphocytes","High","KLRF1, KLRC2, TRDC, SPON2 and related cytotoxic markers support an NK-like cytotoxic identity.","SH2D1B, KLRF1, MYOM2, KLRC2, AKR1C3, KIR3DL2"
"1","S100A8+ inflammatory monocytes","High","S100A8, S100A12, EREG, MCEMP1, FPR2 and CXCL8 support an inflammatory classical-monocyte state.","S100A8, HLX, S100A12, EREG, MCEMP1, FPR2"
"2","CD8 T cells","High","GZMK, CD8A, CD8B, CD3D and CD3G support a CD8 T-cell identity.","GZMK, CD8A, CD8B, TRGC2, A2M-AS1, KLRG1"
"3","IL7R+ naive/central-memory T cells","High","MAL, LEF1, IL7R, TRAT1 and CCR7 support a naive or central-memory T-cell identity.","MAL, LEF1, TRABD2A, CD28, AQP3, RCAN3"
"4","Activated monocytes","High","LGALS2, THBD, CD300E, TGFBI and CPVL support an activated monocyte identity.","PID1, ID1, LGALS2, C15orf48, THBD, NRG1"
"5","B cells","High","IGHD, CD79A, MS4A1, TCL1A, PAX5 and related B-cell markers support a B-cell identity.","IGHD, VPREB3, EBF1, CD79A, FCRLA, PAX5"
"6","Platelet-rich cells","High","CLEC1B, GP9, ESAM, CMTM5 and related platelet markers indicate platelet-rich cells or platelet contamination.","PTCRA, TMEM40, CLEC1B, ESAM, AC090409.1, GP9"
"7","Non-classical monocytes","High","CDKN1C, C1QA, CSF1R and TCF7L2 support a non-classical or macrophage-like monocyte identity.","CDKN1C, NEURL1, C1QA, CKB, ZNF703, BATF3"
"8","IFN-stimulated mixed cells","Medium","IFI27, ISG15 and IFITM3 indicate an interferon-stimulated state, but mixed marker support makes this label conservative.","IFI27, IGKC, ISG15, IFITM3, NAMPT, SLC25A37"
"9","Activated cytotoxic T cells","High","TRAC, CD8A, CD8B, GZMA, PRF1, LAG3 and PCNA support activated cytotoxic T cells with some cycling signal.","STMN1, LAG3, NPDC1, LAIR2, TRAC, SIT1"
"10","Erythroid cells","High","HBA1, HBA2, GYPA, GYPB, AHSP and ALAS2 support an erythroid identity rather than an immune-cell subtype.","SPTA1, GYPA, IFIT1B, GYPB, CA1, EPB42"
"11","GZMB+ cytotoxic lymphocytes","High","PRF1, GZMB, GZMA, SPON2, LAIR2 and KIR genes support an activated cytotoxic lymphocyte identity.","LAIR2, LAG3, PRF1, SPON2, CD38, KIR2DL3"
